# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	255488
#@/user_id	1cfc3a97-9b12-4da7-829a-4855531e8276
a 	啊	c=1034 d=1.25136 t=255488
bu zhou 	步驟	c=6 d=0.904837 t=255488
bu zhu 	不住	c=2 d=1.96671e-16 t=255488
bu zhu 	補助	c=7 d=0.00247875 t=255488
bu zhu ren 	不住人	c=1 d=1 t=253687
bu zhu yi 	不注意	c=1 d=0 t=255488
bu zhuan 	補磚	c=1 d=1.25832e-203 t=255488
bu zhuang 	不裝	c=1 d=0 t=255488
bu zhuang xiu 	不裝修	c=1 d=0 t=255488
bu zhun 	不準	c=4 d=1.20914e-234 t=255488
bu zhun bei 	不準備	c=2 d=8.56707e-05 t=255488
bu zhun que 	不準確	c=1 d=6.15343e-53 t=255488
bu zou 	不走	c=3 d=1.30336e-205 t=255488
bu zu 	不租	c=5 d=6.57026e-30 t=255488
bu zu 	不足	c=1 d=0 t=255488
bu zuo 	不做	c=17 d=2.19883e-05 t=255488
bu zuo fan 	不做飯	c=1 d=1.41806e-21 t=255488
bu zuo wei 	不作爲	c=2 d=2.32956e-08 t=255488
ca 	擦	c=2 d=1.45346e-17 t=255488
ca bian qiu 	擦邊球	c=1 d=0 t=255488
ca bo li 	擦玻璃	c=4 d=3.38647e-17 t=255488
ca chu 	擦出	c=1 d=9.88131e-324 t=255488
ca diao 	擦掉	c=1 d=1.27902e-101 t=255488
cai 	彩	c=2 d=5.97143e-192 t=255488
cai 	才	c=140 d=0.915777 t=255488
cai 	猜	c=2 d=4.68942e-33 t=255488
cai 	菜	c=23 d=0.00932553 t=255488
cai 	裁	c=5 d=5.88906e-07 t=255488
cai 	財	c=4 d=9.47656e-313 t=255488
cai ban 	菜板	c=2 d=2.72016e-237 t=255488
cai cai 	猜猜	c=5 d=4.469e-16 t=255488
cai ce 	猜測	c=3 d=7.18991e-90 t=255488
cai chan 	財產	c=3 d=1.15114e-97 t=255488
cai chao 	彩超	c=1 d=2.8713e-56 t=255488
cai chi 	才吃	c=3 d=2.3153e-259 t=255488
cai dan 	菜單	c=57 d=3.49359 t=255488
cai dao 	纔到	c=3 d=3.09759e-213 t=255488
cai dao 	菜刀	c=2 d=0.551563 t=255488
cai de 	猜的	c=1 d=1.20078e-270 t=255488
cai dui 	纔對	c=8 d=3.97194e-50 t=255488
cai fu 	財富	c=4 d=3.30514e-35 t=255488
cai gan 	才幹	c=1 d=2.23013e-318 t=255488
cai gei 	纔給	c=2 d=2.21241e-48 t=255488
cai gei huan 	纔給換	c=1 d=5.22884e-108 t=255488
cai gou 	採購	c=3 d=6.71351e-176 t=255488
cai gou zhong 	採購中	c=1 d=5.75447e-176 t=255488
cai hao 	纔好	c=4 d=4.19308e-11 t=255488
cai huan 	才換	c=1 d=0.031117 t=255488
cai hui 	纔會	c=11 d=1.64293e-08 t=255488
cai hui lai 	纔回來	c=1 d=1.6817e-174 t=255488
cai ji 	採集	c=2 d=0 t=255488
cai jia 	菜價	c=1 d=2.33957e-29 t=255488
cai jian 	裁剪	c=4 d=2.02798e-15 t=255488
cai jiao 	才叫	c=0 d=0 t=255488
cai kai shi 	纔開始	c=1 d=0 t=255488
cai ke yi 	纔可以	c=5 d=1.85131e-128 t=255488
cai lai 	纔來	c=1 d=8.92429e-15 t=255488
cai liao 	材料	c=20 d=9.08106e-14 t=255488
cai lin 	蔡琳	c=1 d=0.000765486 t=255488
cai neng 	才能	c=63 d=0.209345 t=255488
cai niao 	菜鳥	c=5 d=6.9623e-06 t=255488
cai piao 	彩票	c=3 d=0.000270565 t=255488
cai qu 	採取	c=1 d=4.61272e-133 t=255488
cai ren 	裁人	c=1 d=0 t=255488
cai rong 	才榮	c=1 d=1.28311e-21 t=255488
cai se 	彩色	c=1 d=0 t=255488
cai shi 	纔是	c=3 d=5.63663e-21 t=255488
cai shi chang 	菜市場	c=3 d=1.73621e-20 t=255488
cai shui 	財稅	c=22 d=6.5778e-36 t=255488
cai shui guan jia 	財稅管家	c=2 d=3.32173e-43 t=255488
cai shuo 	才說	c=1 d=0 t=255488
cai suan 	纔算	c=5 d=5.21462e-76 t=255488
cai tao 	財套	c=54 d=2.83187e-09 t=255488
cai tao de 	財套的	c=1 d=1.58485e-182 t=255488
cai tui 	才退	c=1 d=0 t=255488
cai wu 	財務	c=30 d=2.14192e-20 t=255488
cai wu guan li 	財務管理	c=1 d=1.90911e-78 t=255488
cai xia 	蔡霞	c=1 d=1.05025e-253 t=255488
cai xia qu 	踩下去	c=1 d=1.04597e-205 t=255488
cai xin 	菜心	c=1 d=1.83724e-09 t=255488
cai xing 	才行	c=59 d=0.181944 t=255488
cai yong 	採用	c=10 d=4.65492e-05 t=255488
cai you 	纔有	c=22 d=0.0065349 t=255488
cai you xiao 	纔有效	c=1 d=0.0072265 t=255488
cai you zhi 	纔有值	c=1 d=1.81905e-274 t=255488
cai yuan 	裁員	c=4 d=6.22374e-320 t=255488
cai zhi 	材質	c=15 d=5.34863e-51 t=255488
cai zhi dao 	才知道	c=2 d=1.43748e-34 t=255488
cai zou 	才走	c=1 d=1.92268e-220 t=255488
cai zuo 	才做	c=2 d=0.000242381 t=255488
can 	慘	c=2 d=2.58167e-11 t=255488
can 	餐	c=7 d=4.90996e-10 t=255488
can bian 	餐邊	c=1 d=1.64891e-207 t=255488
can bu 	餐補	c=1 d=0 t=255488
can ci 	殘次	c=1 d=3.08914e-34 t=255488
can fei 	餐費	c=2 d=7.12215e-214 t=255488
can guan 	參觀	c=3 d=0 t=255488
can he 	餐盒	c=1 d=1.70414e-36 t=255488
can jia 	參加	c=8 d=1.38374e-45 t=255488
can jia ge 	參加個	c=1 d=8.45767e-89 t=255488
can jian 	參見	c=36 d=0.802639 t=255488
can kao 	參考	c=50 d=0.0255696 t=255488
can kao de 	參考的	c=2 d=0 t=255488
can sai 	參賽	c=1 d=0 t=255488
can shu 	參數	c=234 d=1.58177 t=255488
can shu hua 	參數化	c=4 d=0 t=255488
can ting 	餐廳	c=13 d=1.26857e-34 t=255488
can ting deng 	餐廳燈	c=1 d=1.23365e-176 t=255488
can ting ding 	餐廳頂	c=1 d=2.45954e-176 t=255488
can yi 	餐椅	c=1 d=1.26957e-102 t=255488
can yin 	餐飲	c=1 d=1.58106e-07 t=255488
can yu 	參與	c=16 d=1.00899e-08 t=255488
can yu zhe 	參與者	c=4 d=5.60145e-37 t=255488
can zhao 	參照	c=1 d=0 t=255488
can zhuo 	餐桌	c=5 d=3.38053e-65 t=255488
cang 	藏	c=4 d=3.61802e-17 t=255488
cang chu 	倉儲	c=9 d=7.86872e-38 t=255488
cang hao 	藏好	c=1 d=0 t=255488
cang ku 	倉庫	c=150 d=0.942 t=255488
cang long 	藏龍	c=0 d=1.86952e-09 t=255488
cang long dao 	藏龍島	c=2 d=0.000812821 t=255488
cang qi 	藏起	c=1 d=9.24127e-102 t=255488
cang qing 	藏青	c=1 d=1.43133e-13 t=255488
cang wei 	艙位	c=2 d=0 t=255488
cang wen 	藏文	c=1 d=1.5367e-172 t=255488
cang zhe ye zhe 	藏着掖着	c=1 d=9.23476e-270 t=255488
cao 	操	c=1 d=2.81657e-153 t=255488
cao 	曹	c=2 d=1.27034e-21 t=255488
cao 	槽	c=5 d=1.09111e-07 t=255488
cao 	艹	c=4 d=6.1367e-21 t=255488
cao 	草	c=4 d=0.000497955 t=255488
cao chang di 	草場地	c=1 d=4.04735e-36 t=255488
cao cheng 	草成	c=5 d=0.0034066 t=255488
cao de 	操的	c=1 d=0 t=255488
cao gao 	草稿	c=4 d=5.91259e-142 t=255488
cao guo 	草果	c=2 d=0 t=255488
cao mei 	草莓	c=6 d=2.56503 t=255488
cao pi 	曹丕	c=1 d=0.197899 t=255488
cao ping 	草坪	c=1 d=0 t=255488
cao qiong 	曹瓊	c=1 d=8.78815e-40 t=255488
cao shan hu 	草珊瑚	c=1 d=3.0532e-14 t=255488
cao xin 	操心	c=1 d=9.42514e-216 t=255488
cao zuo 	操作	c=134 d=2.25709 t=255488
cao zuo fu 	操作符	c=8 d=0.00737249 t=255488
cao zuo xi tong 	操作系統	c=1 d=1.09358e-23 t=255488
cao zuo xia 	操作下	c=1 d=2.73609e-18 t=255488
cao zuo yuan 	操作員	c=6 d=3.03529e-33 t=255488
ce 	側	c=5 d=7.70633e-24 t=255488
ce 	冊	c=1 d=4.20966e-28 t=255488
ce 	測	c=20 d=1.92424e-30 t=255488
ce 	策	c=3 d=6.79156e-08 t=255488
ce bian 	側邊	c=3 d=2.02668e-204 t=255488
ce bu liao 	測不了	c=1 d=5.52001e-216 t=255488
ce ce shi 	測測試	c=2 d=1.26316e-160 t=255488
ce dao 	測到	c=1 d=9.38633e-50 t=255488
ce guo 	測過	c=1 d=2.4868e-188 t=255488
ce hao 	測好	c=1 d=0 t=255488
ce hua 	策劃	c=5 d=2.0902e-175 t=255488
ce hua yun ying wei 	策劃運營爲	c=1 d=0 t=255488
ce hui 	測繪	c=1 d=1.83927e-257 t=255488
ce kai 	側開	c=4 d=8.54911e-186 t=255488
ce kai 	測開	c=6 d=6.50957e-204 t=255488
ce liang 	測量	c=1 d=2.94261e-168 t=255488
ce lve 	策略	c=24 d=1.70437 t=255488
ce shi 	測試	c=680 d=0.421672 t=255488
ce shi ge 	測試個	c=1 d=1.75707e-131 t=255488
ce shi he 	測試和	c=1 d=6.04103e-42 t=255488
ce shi lei 	測試類	c=1 d=1.6937e-140 t=255488
ce shi shu ju 	測試數據	c=1 d=1.29426e-299 t=255488
ce shi xia 	測試下	c=2 d=2.7219e-45 t=255488
ce shuo 	測說	c=1 d=4.78974e-223 t=255488
ce suo 	廁所	c=24 d=0.000107825 t=255488
ce xia 	測下	c=1 d=9.62395e-50 t=255488
ce zhong 	側重	c=4 d=4.50799e-10 t=255488
cen wen ben 	岑文本	c=1 d=8.35385e-32 t=255488
ceng 	層	c=36 d=0.395609 t=255488
ceng 	蹭	c=3 d=7.06198e-120 t=255488
ceng ci 	層次	c=1 d=0 t=255488
ceng fan 	蹭飯	c=1 d=0.109701 t=255488
ceng gao 	層高	c=2 d=0.390628 t=255488
ceng ji 	層級	c=1 d=3.44354e-47 t=255488
ceng mian 	層面	c=1 d=1.3914e-33 t=255488
ceng shu 	層數	c=1 d=0 t=255488
cha 	叉	c=1 d=0 t=255488
cha 	差	c=54 d=0.00548905 t=255488
cha 	插	c=7 d=2.47104e-46 t=255488
cha 	查	c=93 d=0.884466 t=255488
cha 	茶	c=4 d=9.32205e-28 t=255488
cha bei 	茶杯	c=1 d=1.08927e-06 t=255488
cha bie 	差別	c=17 d=0.00980366 t=255488
cha bie de 	差別的	c=1 d=1.62287e-255 t=255488
cha bu 	插補	c=3 d=1.33444e-100 t=255488
cha bu chu 	查不出	c=2 d=1.17468e-188 t=255488
cha bu dao 	查不到	c=3 d=1.0155e-122 t=255488
cha bu duo 	差不多	c=303 d=0.255635 t=255488
cha bu liao 	差不了	c=1 d=7.97947e-22 t=255488
cha cao 	插槽	c=3 d=1.02191e-129 t=255488
cha cha 	查查	c=5 d=6.47023e-26 t=255488
cha chu lai 	查出來	c=5 d=0.000841773 t=255488
cha cuo 	差錯	c=1 d=2.68577e-123 t=255488
cha dao 	查到	c=20 d=4.43242e-17 t=255488
cha de 	查得	c=3 d=6.09136e-22 t=255488
cha dian 	差點	c=10 d=0.190141 t=255488
cha ge 	差個	c=2 d=2.78247e-98 t=255488
cha guo 	查過	c=1 d=0 t=255488
cha jia 	差價	c=2 d=6.08352e-213 t=255488
cha jian 	插件	c=53 d=0.010412 t=255488
cha jin 	差勁	c=1 d=1.20237e-168 t=255488
cha jin qu 	插進去	c=1 d=3.76258e-60 t=255488
cha ju 	差距	c=3 d=0.00194986 t=255488
cha kan 	查看	c=151 d=0.177284 t=255488
cha kan qi 	查看器	c=1 d=5.38957e-170 t=255488
cha li 	查理	c=1 d=8.97892e-263 t=255488
cha ping 	差評	c=7 d=0.500944 t=255488
cha ru 	插入	c=58 d=0.225373 t=255488
cha shang 	插上	c=1 d=3.28945e-126 t=255488
cha shou 	查收	c=4 d=5.04243e-320 t=255488
cha shou fu jian 	查收附件	c=1 d=0 t=255488
cha shou ha 	查收哈	c=1 d=2.86558e-322 t=255488
cha shou xia 	查收下	c=2 d=8.10268e-322 t=255488
cha shui 	茶水	c=1 d=1.50446e-12 t=255488
cha shui fei 	查稅費	c=1 d=9.27556e-28 t=255488
cha shui fei 	茶水費	c=2 d=9.68434e-06 t=255488
cha xia 	查下	c=6 d=1.57125e-22 t=255488
cha xie 	差些	c=1 d=1.08348e-149 t=255488
cha xun 	查詢	c=640 d=1.6989 t=255488
cha xun dao 	查詢到	c=1 d=4.38818e-46 t=255488
cha xun lie 	查詢列	c=1 d=0 t=255488
cha xun qi 	查詢器	c=1 d=5.24293e-169 t=255488
cha xun zhe 	查詢者	c=3 d=9.24357e-33 t=255488
cha xun zhe zheng zhi zuo zhan xue xiao xing xing xi xing xing xia zai 	查詢者政治作戰學校惺惺惜惺惺下載	c=1 d=0 t=255488
cha xun zi fu chuan 	查詢字符串	c=1 d=0 t=255488
cha yan 	查驗	c=32 d=0.000252208 t=255488
cha yuan 	茶園	c=0 d=0.0923116 t=255488
cha zhao 	查找	c=28 d=1.1913 t=255488
cha zhao dao 	查找到	c=1 d=0 t=255488
cha zuo 	插座	c=8 d=0.111359 t=255488
chai 	拆	c=9 d=8.65611e-09 t=255488
chai 	柴	c=1 d=0 t=255488
chai bao 	拆包	c=1 d=1 t=251184
chai chu 	拆除	c=2 d=4.07309e-228 t=255488
chai dan 	拆單	c=3 d=8.5325e-38 t=255488
chai fen 	拆分	c=100 d=0.0269546 t=255488
chai fen hou 	拆分後	c=1 d=3.0097e-51 t=255488
chai fen na 	拆分那	c=1 d=1.77611e-52 t=255488
chai kai 	拆開	c=2 d=8.52724e-09 t=255488
chai lv 	差旅	c=1 d=0 t=255488
chai qian 	拆遷	c=1 d=0.00096344 t=255488
chai xie 	拆卸	c=1 d=9.52279e-249 t=255488
chan 	產	c=11 d=1.82305e-06 t=255488
chan 	鏟	c=1 d=3.079e-201 t=255488
chan 	饞	c=1 d=6.47485e-05 t=255488
chan diao 	剷掉	c=1 d=9.41391e-202 t=255488
chan huai 	鏟壞	c=1 d=3.59521e-201 t=255488
chan jing 	嶄勁	c=1 d=2.53969e-24 t=255488
chan liang 	產量	c=1 d=0 t=255488
chan pin 	產品	c=124 d=2.75019 t=255488
chan pin ma 	產品嗎	c=1 d=0.00052611 t=255488
chan pin shui 	產品稅	c=1 d=7.90505e-323 t=255488
chan quan 	產權	c=1 d=8.61734e-15 t=255488
chan sheng 	產生	c=4 d=4.87641e-13 t=255488
chan wu 	產物	c=3 d=0.321422 t=255488
chan za 	摻雜	c=1 d=1.92567e-62 t=255488
chan zhe 	纏着	c=1 d=7.20429e-290 t=255488
chan zheng 	產證	c=1 d=3.18684e-253 t=255488
chang 	唱	c=2 d=4.78756e-12 t=255488
chang 	嚐	c=1 d=9.3145e-136 t=255488
chang 	場	c=4 d=3.44893e-36 t=255488
chang 	常	c=10 d=0.154907 t=255488
chang 	廠	c=2 d=4.51644e-32 t=255488
chang 	昌	c=2 d=3.38183e-09 t=255488
chang 	暢	c=0 d=4.68049e-41 t=255488
chang 	腸	c=3 d=0.65377 t=255488
chang 	長	c=34 d=0.0197423 t=255488
chang an 	長按	c=3 d=1.43426e-37 t=255488
chang chang 	嘗嘗	c=4 d=2.85067e-30 t=255488
chang cheng 	長城	c=9 d=4.02344e-17 t=255488
chang chong 	長蟲	c=1 d=6.32385e-139 t=255488
chang de 	長得	c=1 d=0 t=255488
chang de 	長的	c=1 d=0 t=255488
chang di 	場地	c=0 d=4.02717e-37 t=255488
chang dian 	長電	c=1 d=1.45318e-191 t=255488
chang du 	長度	c=52 d=0.0428521 t=255488
chang duan 	長短	c=1 d=2.27793e-09 t=255488
chang e shu san 	长萼树参	c=1 d=3.96332e-142 t=255488
chang fa 	長髮	c=1 d=2.53127e-220 t=255488
chang fu du 	長復讀	c=1 d=1 t=252907
chang gui 	常規	c=2 d=0 t=255488
chang hang 	長行	c=2 d=9.31349e-09 t=255488
chang jia 	廠家	c=3 d=3.3811e-67 t=255488
chang jian 	常見	c=4 d=0.0190631 t=255488
chang jian 	長劍	c=1 d=0 t=255488
chang jiang 	長江	c=3 d=9.58575e-280 t=255488
chang jie zhi fu 	暢捷支付	c=3 d=1.20007e-28 t=255488
chang jing 	場景	c=48 d=0.108556 t=255488
chang lai 	常來	c=1 d=3.4451e-258 t=255488
chang liang 	常量	c=4 d=3.00512e-180 t=255488
chang ling 	長陵	c=1 d=2.8463e-12 t=255488
chang long 	長龍	c=1 d=7.92726e-33 t=255488
chang ping xian 	昌平縣	c=1 d=8.78693e-09 t=255488
chang qi 	長期	c=9 d=0.00594622 t=255488
chang qi zhi chi ban 	長期支持版	c=1 d=1.63111e-197 t=255488
chang qing shu 	常青樹	c=9 d=0.019854 t=255488
chang sha 	長沙	c=6 d=2.3751e-118 t=255488
chang shang 	廠商	c=1 d=2.52971e-154 t=255488
chang shi 	嘗試	c=3 d=0.145148 t=255488
chang shi jian 	長時間	c=4 d=1.06036e-13 t=255488
chang shi jian tu 	長時間圖	c=1 d=0 t=255488
chang tu 	長圖	c=3 d=0 t=255488
chang wei 	腸胃	c=1 d=0 t=255488
chang wei hui 	常委會	c=1 d=1.48514e-06 t=255488
chang wu 	常務	c=1 d=1.18591e-06 t=255488
chang xi 	長洗	c=2 d=9.317e-14 t=255488
chang xiu 	長袖	c=1 d=1.26006e-43 t=255488
chang ying 	常營	c=2 d=1.05474e-31 t=255488
chang yong 	常用	c=9 d=0.0395575 t=255488
chang you 	常有	c=1 d=7.95928e-253 t=255488
chang you liang 	常有良	c=2 d=1.4803e-252 t=255488
chang yuan 	長遠	c=1 d=0 t=255488
chang zi 	腸子	c=1 d=0 t=255488
chao 	吵	c=1 d=4.93761e-169 t=255488
chao 	抄	c=9 d=9.63932e-10 t=255488
chao 	朝	c=4 d=2.80393e-12 t=255488
chao 	潮	c=4 d=7.06489e-31 t=255488
chao 	炒	c=4 d=2.87932e-30 t=255488
chao 	超	c=15 d=3.88006e-10 t=255488
chao biao 	超標	c=2 d=1.73929e-129 t=255488
chao bu 	吵不	c=1 d=8.33715e-126 t=255488
chao cai 	炒菜	c=3 d=1.46488e-109 t=255488
chao chang 	超長	c=2 d=1.6535e-34 t=255488
chao chu 	超出	c=6 d=2.4969e-265 t=255488
chao e 	超額	c=50 d=8.97512e-311 t=255488
chao e bao 	超額包	c=4 d=1.28978e-317 t=255488
chao fan 	炒飯	c=1 d=0.752014 t=255488
chao fang 	炒房	c=0 d=0 t=255488
chao fang zi 	炒房子	c=1 d=0 t=255488
chao feng 	朝豐	c=1 d=5.29648e-24 t=255488
chao gan 	超感	c=1 d=0.00511796 t=255488
chao gao 	超高	c=1 d=1.92242e-189 t=255488
chao gu 	炒股	c=1 d=0.242926 t=255488
chao guo 	超過	c=56 d=1.58134 t=255488
chao ji 	超擠	c=1 d=1.40032e-20 t=255488
chao ji 	超級	c=3 d=0.000372047 t=255488
chao ji man 	超擠慢	c=1 d=1.47147e-103 t=255488
chao ji zan 	超級讚	c=2 d=0.000712024 t=255488
chao kuai 	超快	c=1 d=6.7826e-110 t=255488
chao lian jie 	超鏈接	c=4 d=5.62363e-82 t=255488
chao mian 	炒麪	c=1 d=0 t=255488
chao neng 	超能	c=0 d=9.53661e-32 t=255488
chao qian 	超前	c=1 d=1.4072e-107 t=255488
chao sheng 	朝生	c=1 d=2.70096e-13 t=255488
chao shi 	潮溼	c=1 d=1.82567e-111 t=255488
chao shi 	超市	c=11 d=6.07243e-15 t=255488
chao shi 	超時	c=49 d=0.778801 t=255488
chao song 	抄送	c=17 d=1.90741e-36 t=255488
chao xian 	朝鮮	c=2 d=2.84331e-29 t=255488
chao yang 	朝陽	c=26 d=0.0231676 t=255488
chao yang men 	朝陽門	c=3 d=0.0197421 t=255488
chao yang qu 	朝陽區	c=27 d=0.748778 t=255488
chao zheng 	朝正	c=1 d=9.11077e-23 t=255488
chao zhou 	潮州	c=2 d=6.72856e-16 t=255488
chao zuo 	炒作	c=3 d=7.21828e-07 t=255488
che 	扯	c=4 d=0.447088 t=255488
che 	撤	c=16 d=0.0809282 t=255488
che 	車	c=42 d=0.0485578 t=255488
che cheng 	車程	c=2 d=2.03272e-42 t=255488
che dan 	扯淡	c=2 d=0.000131041 t=255488
che di 	徹底	c=3 d=2.21401e-174 t=255488
che duo 	車多	c=1 d=0 t=255488
che gen ben 	車根本	c=1 d=0 t=255488
che guan 	車管	c=1 d=1.03401e-158 t=255488
che hui 	撤回	c=52 d=7.24902e-09 t=255488
che hui qu 	撤回去	c=2 d=2.30121e-38 t=255488
che huo 	車禍	c=3 d=5.5175e-05 t=255488
che jia 	車架	c=1 d=1.24072e-155 t=255488
che jian 	車間	c=1 d=2.36477e-08 t=255488
che juan 	車卷	c=1 d=6.01211e-15 t=255488
che liang 	車輛	c=3 d=1.41262e-64 t=255488
che pai 	車牌	c=1 d=2.61812e-117 t=255488
che pai hao 	車牌號	c=1 d=0 t=255488
che pi 	扯皮	c=6 d=2.56347e-16 t=255488
che piao 	車票	c=5 d=0.00128115 t=255488
che wei 	車位	c=5 d=9.63598e-56 t=255488
che xiang 	車廂	c=1 d=1.99263e-23 t=255488
che xiao 	撤銷	c=71 d=0.000710174 t=255488
che zhan 	車站	c=1 d=1.1605e-104 t=255488
che zi 	撤資	c=3 d=3.84943e-05 t=255488
che zuo 	車座	c=1 d=0.0800583 t=255488
chen 	晨	c=1 d=1.46657e-05 t=255488
chen 	辰	c=1 d=1.48131e-05 t=255488
chen 	陳	c=7 d=0.000247985 t=255488
chen chong 	陳沖	c=1 d=2.27352e-45 t=255488
chen fu min 	陳富民	c=13 d=2.18175e-25 t=255488
chen guang 	晨光	c=2 d=3.89714e-54 t=255488
chen guo 	陳國	c=0 d=4.60003e-131 t=255488
chen guo fu 	陳果夫	c=1 d=1.32701e-05 t=255488
chen guo ning 	陳國寧	c=1 d=4.62308e-130 t=255488
chen hao 	趁好	c=1 d=0 t=255488
chen hu 	陳虎	c=1 d=0 t=255488
chen lao ban 	陳老闆	c=1 d=1.615e-286 t=255488
chen ming zhen 	陳明真	c=2 d=6.08495e-39 t=255488
chen mo 	沉默	c=2 d=2.99297e-242 t=255488
chen rui 	陳瑞	c=1 d=9.8421e-49 t=255488
chen ruo lin 	陳若林	c=1 d=1 t=255230
chen sheng 	陳昇	c=1 d=4.01964e-14 t=255488
chen tian qiao 	陳天橋	c=1 d=0.00174675 t=255488
chen you liang 	陳友諒	c=1 d=2.34204e-12 t=255488
cheng 	乘	c=0 d=7.53784e-59 t=255488
cheng 	城	c=6 d=0.0213864 t=255488
cheng 	成	c=64 d=0.140156 t=255488
cheng 	承	c=1 d=0.00869506 t=255488
cheng 	撐	c=4 d=0.822835 t=255488
cheng 	程	c=2 d=0.0135009 t=255488
cheng 	稱	c=1 d=5.73761e-24 t=255488
cheng bao 	承保	c=1 d=0.0459593 t=255488
cheng bao 	承包	c=8 d=0.512482 t=255488
cheng ben 	成本	c=40 d=1.51123e-05 t=255488
cheng chang 	成長	c=2 d=1.43304e-27 t=255488
cheng che 	乘車	c=2 d=2.01863e-57 t=255488
cheng dan 	成單	c=1 d=1.48429e-58 t=255488
cheng dan 	承擔	c=33 d=1.5252e-11 t=255488
cheng dan bu men 	承擔部門	c=1 d=1.53136e-43 t=255488
cheng di tie 	乘地鐵	c=1 d=7.57562e-58 t=255488
cheng du 	成都	c=11 d=3.4059e-06 t=255488
cheng du 	程度	c=2 d=7.5445e-39 t=255488
cheng fa 	乘法	c=2 d=3.44337e-37 t=255488
cheng gong 	成功	c=223 d=1.4885 t=255488
cheng guan 	城管	c=6 d=9.92042e-44 t=255488
cheng guo 	成果	c=1 d=3.53936e-17 t=255488
cheng ji 	成績	c=5 d=0 t=255488
cheng ji si han 	成吉思汗	c=1 d=3.22544e-277 t=255488
cheng jian 	成見	c=2 d=4.74466e-270 t=255488
cheng jie 	承接	c=1 d=3.709e-244 t=255488
cheng jing 	成精	c=1 d=7.86577e-59 t=255488
cheng lan 	承攬	c=0 d=3.74628e-245 t=255488
cheng lan fang 	承攬方	c=2 d=7.56795e-244 t=255488
cheng li 	成立	c=3 d=2.27902e-44 t=255488
cheng nuo 	承諾	c=8 d=7.32028e-37 t=255488
cheng pin 	成品	c=3 d=8.11185e-204 t=255488
cheng qiang 	城牆	c=1 d=1.22836e-08 t=255488
cheng qu 	城區	c=3 d=4.19152e-36 t=255488
cheng ren 	成人	c=3 d=5.24986e-67 t=255488
cheng ren 	承認	c=5 d=1.26822e-23 t=255488
cheng shi 	城市	c=33 d=0.0594521 t=255488
cheng shou 	承受	c=1 d=9.22339e-138 t=255488
cheng shu 	成熟	c=2 d=1.38187e-11 t=255488
cheng wei 	成爲	c=2 d=0 t=255488
cheng wei 	稱爲	c=1 d=0.0095616 t=255488
cheng xu 	程序	c=166 d=0.802229 t=255488
cheng xu yuan 	程序員	c=10 d=0.037068 t=255488
cheng yuan 	成員	c=3 d=0.00404611 t=255488
cheng zhang 	成長	c=2 d=1.37269e-109 t=255488
cheng zhe 	撐着	c=1 d=0.0106734 t=255488
cheng zhong 	稱重	c=1 d=6.75884e-10 t=255488
cheng zi 	橙子	c=2 d=1.97113e-13 t=255488
cheng zi pi 	橙子皮	c=1 d=0 t=255488
chi 	吃	c=283 d=0.671297 t=255488
chi 	池	c=14 d=1.17619 t=255488
chi ba 	吃吧	c=5 d=1.93473e-29 t=255488
chi bao 	吃飽	c=1 d=4.20608e-19 t=255488
chi bao me 	吃飽麼	c=1 d=4.22717e-18 t=255488
chi bi 	赤壁	c=1 d=1.49925e-29 t=255488
chi bu 	吃不	c=12 d=3.72918e-05 t=255488
chi bu le 	吃不了	c=2 d=0 t=255488
chi bu wan 	吃不完	c=1 d=4.4724e-05 t=255488
chi chi 	吃吃	c=1 d=2.25813e-259 t=255488
chi chi 	遲遲	c=1 d=2.24687e-259 t=255488
chi chi chi chi chi 	叱吒叱叱吒	c=0 d=0.0367879 t=255488
chi chi chi chi chi chi chi 	叱吒叱吒叱吒吒	c=0 d=0.0367879 t=255488
chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi chi 	叱吒叱叱吒叱吒叱吒叱吒吒叱吒叱叱吒叱吒叱叱吒	c=1 d=0.369723 t=255488
chi cun 	尺寸	c=43 d=3.93188e-19 t=255488
chi cun de 	尺寸的	c=8 d=1.0489e-320 t=255488
chi cun le 	尺寸了	c=1 d=0 t=255488
chi dao 	遲到	c=5 d=3.84342e-16 t=255488
chi dao le 	吃到了	c=1 d=0 t=255488
chi de 	吃得	c=10 d=0.818731 t=255488
chi dian 	吃點	c=21 d=1.0677e-06 t=255488
chi dong xi 	吃東西	c=2 d=0 t=255488
chi dun 	吃頓	c=1 d=1.22022e-253 t=255488
chi duo 	吃多	c=1 d=0 t=255488
chi fan 	吃飯	c=62 d=0.354736 t=255488
chi fan de 	吃飯的	c=1 d=6.3828e-13 t=255488
chi fen 	吃粉	c=1 d=0 t=255488
chi ge 	吃個	c=10 d=0.0116497 t=255488
chi ge fan 	吃個飯	c=1 d=0 t=255488
chi guo 	吃過	c=9 d=0.00782838 t=255488
chi huo 	吃貨	c=3 d=1.4107e-11 t=255488
chi jiu 	持久	c=1 d=0.0695994 t=255488
chi jiu hua 	持久化	c=4 d=7.22773e-05 t=255488
chi ka ren 	持卡人	c=6 d=7.51428e-16 t=255488
chi le 	吃了	c=11 d=1.12813 t=255488
chi le ge 	吃了個	c=2 d=3.43417e-15 t=255488
